date,open,close,high,low,volume,code
2024-04-01,7.15,7.23,7.24,7.14,360288.0,600000
2024-04-02,7.24,7.27,7.31,7.22,350952.0,600000
2024-04-03,7.23,7.23,7.28,7.19,252541.0,600000
2024-04-08,7.23,7.28,7.32,7.19,327645.0,600000
2024-04-09,7.29,7.26,7.32,7.25,203355.0,600000
2024-04-10,7.26,7.27,7.33,7.23,224367.0,600000
2024-04-11,7.23,7.24,7.28,7.19,253642.0,600000
2024-04-12,7.2,7.13,7.26,7.12,328097.0,600000
2024-04-15,7.12,7.3,7.3,7.12,483103.0,600000
2024-04-16,7.25,7.26,7.32,7.21,402033.0,600000
2024-04-17,7.26,7.34,7.35,7.18,431519.0,600000
2024-04-18,7.34,7.33,7.46,7.31,468225.0,600000
2024-04-19,7.32,7.34,7.4,7.26,380042.0,600000
2024-04-22,7.36,7.29,7.43,7.28,326947.0,600000
2024-04-23,7.32,7.34,7.4,7.25,440556.0,600000
2024-04-24,7.38,7.36,7.4,7.3,247589.0,600000
2024-04-25,7.33,7.41,7.42,7.31,246769.0,600000
2024-04-26,7.41,7.42,7.48,7.35,458466.0,600000
2024-04-29,7.39,7.42,7.52,7.3,393178.0,600000
2024-04-30,7.58,7.7,7.84,7.56,1054728.0,600000
2024-05-06,7.82,7.85,7.89,7.75,859373.0,600000
2024-05-07,7.85,7.82,7.86,7.72,462695.0,600000
2024-05-08,7.81,7.8,7.85,7.78,303779.0,600000
2024-05-09,7.8,7.8,7.85,7.76,339421.0,600000
2024-05-10,7.81,7.94,7.95,7.8,522116.0,600000
2024-05-13,7.93,7.96,7.98,7.87,404221.0,600000
2024-05-14,7.97,7.88,7.98,7.86,398436.0,600000
2024-05-15,7.9,7.89,7.93,7.84,310391.0,600000
2024-05-16,7.92,8.02,8.05,7.88,606587.0,600000
2024-05-17,8.04,8.16,8.16,8.0,694381.0,600000
2024-05-20,8.2,8.32,8.35,8.15,881450.0,600000
2024-05-21,8.31,8.42,8.42,8.26,531463.0,600000
2024-05-22,8.41,8.53,8.62,8.38,711732.0,600000
2024-05-23,8.52,8.52,8.6,8.48,612123.0,600000
2024-05-24,8.51,8.44,8.59,8.41,607406.0,600000
2024-05-27,8.45,8.54,8.56,8.43,528587.0,600000
2024-05-28,8.58,8.54,8.64,8.51,400473.0,600000
2024-05-29,8.53,8.49,8.59,8.45,408024.0,600000
