date,open,close,high,low,volume,code
2005-05-09,-4.188,-4.221,-4.186,-4.223,44088.0,600000
2005-05-10,-4.221,-4.196,-4.186,-4.223,49067.41,600000
2005-05-11,-4.195,-4.193,-4.174,-4.202,55283.35,600000
2005-05-12,-4.174,-4.214,-4.174,-4.214,54174.47,600000
2005-05-13,-4.217,-4.207,-4.189,-4.226,38519.6,600000
2005-05-16,-4.209,-4.203,-4.195,-4.224,21429.17,600000
2005-05-17,-4.203,-4.193,-4.175,-4.212,29984.01,600000
2005-05-18,-4.182,-4.2,-4.179,-4.21,38100.65,600000
2005-05-19,-4.198,-4.175,-4.172,-4.203,35161.37,600000
2005-05-20,-4.174,-4.189,-4.172,-4.191,22622.77,600000
2005-05-23,-4.189,-4.216,-4.189,-4.226,69166.01,600000
2005-05-24,-4.223,-4.209,-4.202,-4.224,31534.0,600000
2005-05-25,-4.203,-4.214,-4.189,-4.217,31385.64,600000
2005-05-26,-4.212,-4.228,-4.203,-4.235,32253.07,600000
2005-05-27,-4.228,-4.235,-4.214,-4.242,26402.97,600000
2005-05-30,-4.235,-4.219,-4.217,-4.249,19255.65,600000
2005-05-31,-4.219,-4.235,-4.212,-4.238,28306.09,600000
2005-06-01,-4.235,-4.254,-4.228,-4.261,35054.47,600000
2005-06-02,-4.256,-4.273,-4.243,-4.285,66711.63,600000
2005-06-03,-4.277,-4.252,-4.236,-4.277,53525.6,600000
2005-06-06,-4.254,-4.238,-4.231,-4.27,28445.98,600000
2005-06-07,-4.235,-4.242,-4.217,-4.25,34118.87,600000
2005-06-08,-4.125,-4.151,-4.125,-4.236,156884.82,600000
2005-06-09,-4.151,-4.161,-4.139,-4.179,131936.41,600000
2005-06-10,-4.161,-4.153,-4.118,-4.172,150261.48,600000
2005-06-13,-4.153,-4.163,-4.137,-4.181,59609.92,600000
2005-06-14,-4.158,-4.17,-4.151,-4.174,54629.77,600000
2005-06-15,-4.174,-4.184,-4.168,-4.191,41288.72,600000
2005-06-16,-4.181,-4.126,-4.123,-4.181,221679.68,600000
2005-06-17,-4.123,-4.102,-4.091,-4.139,187577.43,600000
2005-06-20,-4.091,-4.084,-4.06,-4.114,209778.0,600000
2005-06-21,-4.079,-4.077,-4.058,-4.095,144592.12,600000
2005-06-22,-4.083,-4.056,-4.053,-4.088,132548.28,600000
2005-06-23,-4.051,-4.077,-4.049,-4.086,88286.22,600000
2005-06-24,-4.086,-4.074,-4.062,-4.1,132683.22,600000
2005-06-27,-4.051,-4.067,-4.034,-4.077,117669.9,600000
2005-06-29,-4.077,-4.09,-4.074,-4.104,60142.57,600000
2005-06-30,-4.093,-4.069,-4.042,-4.111,72035.1,600000
2005-07-01,-4.081,-4.119,-4.081,-4.128,47086.99,600000
2005-07-04,-4.13,-4.107,-4.105,-4.137,30880.82,600000
2005-07-05,-4.107,-4.112,-4.095,-4.13,25782.88,600000
2005-07-06,-4.107,-4.111,-4.093,-4.116,22130.15,600000
2005-07-07,-4.116,-4.121,-4.095,-4.128,21416.29,600000
2005-07-08,-4.121,-4.144,-4.119,-4.147,27017.0,600000
2005-07-11,-4.128,-4.126,-4.102,-4.13,35030.62,600000
2005-07-12,-4.13,-4.03,-4.002,-4.139,195931.21,600000
2005-07-13,-4.042,-4.055,-4.034,-4.062,59279.49,600000
2005-07-14,-4.06,-4.048,-4.032,-4.063,43116.03,600000
2005-07-15,-4.046,-4.044,-4.027,-4.049,70777.35,600000
2005-07-18,-4.051,-4.027,-4.021,-4.056,63640.91,600000
2005-07-19,-4.027,-4.021,-3.985,-4.037,113747.54,600000
2005-07-20,-4.025,-4.025,-3.993,-4.034,63990.88,600000
2005-07-21,-4.021,-4.021,-4.011,-4.049,63858.12,600000
2005-07-22,-4.004,-3.976,-3.951,-4.014,228374.53,600000
2005-07-25,-3.972,-3.96,-3.948,-3.986,118444.69,600000
2005-07-26,-3.969,-3.953,-3.92,-3.971,153659.74,600000
